% Device,CC2240001
% File name,CC2240001_20230928_081103
% Cast time (UTC),2023-09-28 08:11:03
% Cast time (local),2023-09-28 10:11:03
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.8640132
% Start longitude,10.6999933
% Start altitude,45.027999877929688
% Start GPS horizontal error(Meter),2.7460000514984131
% Start GPS vertical error(Meter),3.7269999980926514
% Start GPS number of satellites,13
% End latitude,59.8637908
% End longitude,10.6991571
% End altitude,44.912998199462891
% End GPS horizontal error(Meter),9.1569995880126953
% End GPS vertical error(Meter),17.059000015258789
% End GPS number of satellites,12
% Cast duration (Seconds),240.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2022-10-07
% Temperature calibration date,2022-10-07
% Pressure calibration date,2022-10-04
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
3.75,3.7724408581672124,15.578924970611835,23273.373665780513,28676.675987148021,17.537823588360787,1488.4024630947567,1012.4636345572097
4.05,4.0742004142488213,15.591027810540172,23311.255872801663,28714.788871087032,17.563642686909997,1488.4768191582625,1012.4824110084403
4.35,4.3759550314534481,15.605357854517948,23344.652123293316,28745.778090336269,17.58476505432991,1488.5530550780568,1012.4971614612563
4.6499999999999995,4.6777059450427023,15.624301719561881,23375.206624688268,28769.979587652047,17.601486428748718,1488.6393249719904,1012.5076493525826
4.9499999999999993,4.9794513609812645,15.642364012984469,23430.908561316523,28825.720563192128,17.639306655847687,1488.7469431558804,1012.5344406296051
5.2499999999999991,5.2811837174667957,15.646198069534691,23529.225061148241,28943.943318998838,17.718567327287584,1488.8556101203856,1012.5956821036574
5.55,5.5828969582407311,15.647841481304853,23635.488943135621,29073.485924223409,17.805389463785275,1488.96579789536,1012.6631318403943
5.85,5.8845965927504622,15.649198542582324,23673.034931843231,29118.698253108723,17.83568432087467,1489.0100219560457,1012.6874009925496
6.1499999999999995,6.1862839311142244,15.633502288837889,23750.504281960864,29225.273412483053,17.906616856889695,1489.0451810005802,1012.7460666279856
6.4499999999999993,6.4879507315762659,15.676642730296988,23911.474349528173,29392.143432376128,18.019898939716565,1489.3215303467371,1012.825681081718
6.7499999999999991,6.7895919985215025,15.704639394739436,24079.605396636856,29578.453162453075,18.145856451038146,1489.5627646892008,1012.9179138477967
7.0499999999999989,7.0912045812508895,15.681153959691127,24216.804589705418,29764.156412205772,18.269877265652028,1489.6336178547938,1013.0187202142083
7.35,7.3927812750774144,15.701383900445824,24454.773293124286,30041.697541464211,18.457198482963484,1489.9199845219798,1013.1593979821867
7.6499999999999995,7.6943226486029754,15.696875319044244,24602.095447283471,30226.025038058429,18.581125011616962,1490.0527063582854,1013.2564308620496
7.9499999999999993,7.9958307257581094,15.643288635040253,24753.645183109737,30452.315762864473,18.731815568816913,1490.0560938909673,1013.3835685081172
8.25,8.297283776415119,15.610272590545236,25105.218876741226,30909.936421586775,19.039460219733442,1490.3071995506946,1013.6267744423982
8.5499999999999989,8.5986700581489615,15.528162162111338,25353.797653593243,31279.234365697208,19.286153832191566,1490.3278719341829,1013.8330074462356
8.85,8.9000100493817289,15.509728429905845,25500.560327745119,31474.612785752004,19.417614834698188,1490.4239360122647,1013.93859299595
9.1499999999999986,9.2013254913839475,15.50679838206832,25589.727546114569,31586.954003062743,19.49348615209853,1490.5066763787881,1013.9985982641201
9.45,9.5026171489981923,15.490740014506924,25730.2537594677,31773.010014449144,19.618856827955646,1490.6035240670888,1014.0990693085697
9.75,9.80387074019335,15.468355180804146,25951.720090553445,32064.21409346462,19.8153816286774,1490.7616857521748,1014.2552607809765
10.049999999999999,10.105067139662591,15.443701328112848,26284.403985236841,32495.052532402951,20.106857639577239,1491.0218993287658,1014.4846158927161
10.35,10.406188812371475,15.436783058204158,26702.418675117638,33017.486377047528,20.461796922238115,1491.4132922448687,1014.7591119760974
10.649999999999999,10.707232052942548,15.447517965357919,27104.982422154917,33506.360569973069,20.795234621912495,1491.8375493066146,1015.0136839255849
10.95,11.008199320916404,15.481202233708544,27534.164723368649,34008.580778316231,21.139337130014116,1492.3487610385951,1015.2718700463173
11.25,11.309101286690064,15.528685940559731,27859.806722102745,34370.478681399341,21.388636699870183,1492.7953059652998,1015.4546687654613
11.549999999999999,11.609920384651421,15.548766508913253,28459.512464257488,35092.944760726125,21.884482586284371,1493.4365180250209,1015.8317215321582
11.85,11.910642857498747,15.512356822570194,28847.512961538789,35603.350710846942,22.233469746702912,1493.7254466307736,1016.1076947148769
12.149999999999999,12.211264294268064,15.437806404030789,29397.913554420997,36349.540403718151,22.74383655938707,1494.0769362851986,1016.5150679043996
12.45,12.511697348500425,15.288769630719905,30569.786010980781,37938.346456318104,23.834979203296442,1494.8575888360947,1017.3828992470792
